File,Spacecraft Clock,Sol,Target,SiO2,SiO2 RMSEP,SiO2_shots_stdev,TiO2,TiO2 RMSEP,TiO2_shots_stdev,Al2O3,Al2O3 RMSEP,Al2O3_shots_stdev,FeOT,FeOT RMSEP,FeOT_shots_stdev,MgO,MgO RMSEP,MgO_shots_stdev,CaO,CaO RMSEP,CaO_shots_stdev,Na2O,Na2O RMSEP,Na2O_shots_stdev,K2O,K2O RMSEP,K2O_shots_stdev,MnO,MnO RMSEP,MnO_shots_stdev,Sum of Oxides,Distance (m),Laser Power,Spectrum Total,Facies,Point
CL5_399179536CCS_F0030078CCAM02019P3.SAV,399179536,19,Goulburn_7,50.3,5,0.8,1.05,0.5,0.1,21.7,3.8,0.7,5.8,2.1,1,2.6,1.6,0.3,4.7,1.6,0.9,4.22,0.73,0.31,1.3,0.99,0.13,0.07,0.04,0.77,91.81,5.02842,100A/95A/95A,1.37E+14,8,1
CL5_399179597CCS_F0030078CCAM02019P3.SAV,399179597,19,Goulburn_7,53.8,5.1,2.7,0.49,0.35,0.06,18.5,3.7,1.3,8.1,2.4,3.2,5.7,1.9,1.6,4.1,1.4,0.7,3.41,0.65,0.77,0.77,0.77,0.13,0.21,0.07,0.24,95.08,5.02842,100A/95A/95A,1.91E+14,8,2
CL5_399179658CCS_F0030078CCAM02019P3.SAV,399179658,19,Goulburn_7,53.1,5.1,1.1,0.86,0.46,0.16,22.6,3.8,1,4.5,1.9,1.3,1.6,1.5,0.3,6.9,2.2,0.9,5.35,0.95,0.16,2.03,1.17,0.39,0.1,0.05,2,97.06,5.02842,100A/95A/95A,1.22E+14,8,3
CL5_399179719CCS_F0030078CCAM02019P3.SAV,399179719,19,Goulburn_7,54.4,5.1,2.9,6.27,2.83,2.71,24.7,3.9,4.4,12,3,0.5,3,1.7,0.3,4.3,1.5,0.9,3.92,0.69,0.43,0.73,0.75,0.1,0.75,0.25,2.81,110.08,5.02842,100A/95A/95A,5.61E+13,8, 
CL5_399179780CCS_F0030078CCAM02019P3.SAV,399179780,19,Goulburn_7,47.7,4.9,1.3,0.74,0.43,0.02,26.9,4,1.3,2.2,1.7,2,0.8,1.5,0.4,10.3,2.9,0.3,6.34,1.06,0.16,1.22,0.96,0.14,6.41,0.87,2.53,102.54,5.02842,100A/95A/95A,9.23E+13,8,4
CL5_399444150CCS_F0030100CCAM01022P3.SAV,399444150,22,Thor_Lake,46.4,5,1.3,0.7,0.42,0.02,6.6,3.3,0.2,18.7,4,0.3,6.2,2,0.2,15.2,3.4,0.5,2.16,0.62,0.1,0.39,0.62,0.04,0.25,0.08,0.61,96.7,5.31814,100A/95A/95A,5.12E+14,12,1
CL5_399444255CCS_F0030100CCAM01022P3.SAV,399444255,22,Thor_Lake,54.3,5.1,0.8,0.2,0.25,0.03,25.1,3.9,0.4,0.3,1.6,0.9,0.4,1.4,0.1,7.9,2.5,0.2,7.76,1.22,0.15,1.01,0.87,0.07,0.1,0.05,2.31,97.11,5.31814,100A/95A/95A,2.20E+14,12,2
CL5_399444360CCS_F0030100CCAM01022P3.SAV,399444360,22,Thor_Lake,53.3,5.1,0.7,0.82,0.45,0.03,24.6,3.9,0.3,2.7,1.8,1,0.5,1.5,0.1,9.3,2.8,0.3,7.26,1.16,0.16,1.66,1.1,0.07,0.14,0.05,1.35,100.25,5.31814,100A/95A/95A,2.82E+14,12,3
CL5_399444466CCS_F0030100CCAM01022P3.SAV,399444466,22,Thor_Lake,53.8,5.1,0.7,0.79,0.45,0.02,22.1,3.8,0.4,9.5,2.6,0.4,1,1.5,0.1,5.3,1.8,0.2,6.99,1.13,0.11,1.48,1.05,0.06,0.06,0.03,0.36,100.85,5.31814,100A/95A/95A,2.85E+14,12,4
CL5_399444571CCS_F0030100CCAM01022P3.SAV,399444571,22,Thor_Lake,39.5,5.5,0.6,10.06,4.64,0.19,7,3.3,0.1,24,4.6,0.7,2.9,1.6,0.1,1.6,0.9,0.1,2.44,0.61,0.09,0.34,0.6,0.03,0.16,0.06,0.01,87.96,5.31814,100A/95A/95A,1.21E+15,12,5
CL5_401308018CCS_F0041632CCAM03043P3.SAV,401308018,43,Kam,53.9,5.1,0.5,0.78,0.44,0.01,17.4,3.7,0.7,9.6,2.6,0.9,2.9,1.6,0.2,10.8,3,0.4,5.33,0.95,0.29,0.69,0.74,0.05,0.14,0.05,0.02,101.49,3.47127,100A/95A/95A,5.55E+14,4, 
CL5_401308095CCS_F0041632CCAM03043P3.SAV,401308095,43,Kam,43,5.1,1.7,1.08,0.51,0.18,9.6,3.5,1,19.2,4.1,0.4,6.3,2,1.6,7.6,2.4,0.9,1.97,0.63,0.33,0.22,0.56,0.08,0.11,0.05,0.03,89.08,3.47127,100A/95A/95A,5.34E+14,4, 
CL5_401308172CCS_F0041632CCAM03043P3.SAV,401308172,43,Kam,50.6,5,1,0.92,0.48,0.1,18.7,3.7,1.8,15.8,3.5,1,6.3,2,0.5,9.3,2.8,0.3,3.08,0.63,0.33,0.41,0.63,0.09,0.15,0.06,0.02,105.24,3.47127,100A/95A/95A,2.08E+14,4, 
CL5_401308287CCS_F0041632CCAM03043P3.SAV,401308287,43,Kam,46,5,0.6,1.2,0.54,0.03,10.6,3.5,0.3,20.4,4.3,0.4,5,1.9,0.1,7,2.3,0.1,3.13,0.63,0.08,0.4,0.62,0.02,0.16,0.06,0.01,94.03,3.47127,100A/95A/95A,7.09E+14,4, 
CL5_401308364CCS_F0041632CCAM03043P3.SAV,401308364,43,Kam,55.6,5.1,0.5,0.23,0.26,0.27,22.4,3.8,0.2,0.2,1.6,0.5,2.1,1.6,0.1,10.1,2.9,0.1,6.33,1.06,0.13,0.56,0.68,0.04,0.09,0.04,0.02,97.58,3.47127,100A/95A/95A,3.99E+14,4, 
CL5_401308441CCS_F0041632CCAM03043P3.SAV,401308441,43,Kam,52.1,5,1.6,0.77,0.44,0.07,18.7,3.7,1.4,13.3,3.1,1.8,3.2,1.7,0.6,9,2.7,0.6,4.35,0.75,0.68,0.35,0.61,0.04,0.13,0.05,0.03,101.88,3.47127,100A/95A/95A,2.53E+14,4, 
CL5_401308557CCS_F0041632CCAM03043P3.SAV,401308557,43,Kam,52.7,5,0.5,0,0.2,0.1,27.7,4,0.5,0,1.6,0,0.3,1.4,0.1,11,3,0.1,6.77,1.11,0.17,1.32,1,0.07,1.16,0.61,1.5,100.98,3.47127,100A/95A/95A,1.46E+14,4, 
CL5_401308634CCS_F0041632CCAM03043P3.SAV,401308634,43,Kam,40.5,5.4,5,0.91,0.47,0.31,9.3,3.5,0.9,21.1,4.4,1,7.8,2.2,0.8,6.1,2,0.6,2.12,0.62,0.37,0.4,0.62,0.15,0.19,0.06,1.98,88.44,3.47127,100A/95A/95A,9.74E+13,4, 
CL5_401308712CCS_F0041632CCAM03043P3.SAV,401308712,43,Kam,55,5.1,0.4,0.92,0.48,0.02,21.3,3.7,0.5,10.2,2.7,0.8,0.8,1.5,0.1,7.7,2.4,0.1,6.96,1.13,0.1,1.37,1.02,0.09,0.08,0.04,0.02,104.34,3.47127,100A/95A/95A,2.77E+14,4, 
CL5_401752504CCS_F0042106CCAM01048P3.SAV,401752504,48,Jake_1,50.3,5,0.7,0.84,0.46,0.04,17.2,3.7,0.3,14.1,3.3,0.6,2.8,1.6,0.2,8.7,2.7,0.7,5.64,0.99,0.23,1.21,0.96,0.2,0.14,0.05,0.01,100.95,3.19452,100A/95A/95A,6.05E+14,2,1
CL5_401752575CCS_F0042106CCAM01048P3.SAV,401752575,48,Jake_1,41,5.3,0.5,1.77,0.69,0.1,12.8,3.6,0.8,21.4,4.4,0.7,3,1.7,0.1,6.8,2.2,0.4,4.47,0.78,0.16,0.81,0.79,0.12,0.15,0.06,0.01,92.27,3.19452,100A/95A/95A,1.11E+15,2,2
CL5_401752644CCS_F0042106CCAM01048P3.SAV,401752644,48,Jake_1,51.1,5,0.7,0.95,0.48,0.14,16.9,3.7,0.5,17.6,3.8,1.2,2.9,1.6,0.8,5.9,2,1.4,4.95,0.88,0.38,1.49,1.06,0.16,0.12,0.05,0.04,101.91,3.19452,100A/95A/95A,6.60E+14,2,3
CL5_401752758CCS_F0042106CCAM01048P3.SAV,401752758,48,Jake_1,43.4,5.1,1.3,0.88,0.47,0.1,10.7,3.5,1,18.5,4,0.8,4.5,1.8,0.3,11.4,3.1,0.5,3.47,0.65,0.31,0.64,0.71,0.07,0.2,0.07,0.02,93.73,3.19452,100A/95A/95A,8.19E+14,2,4
CL5_401752827CCS_F0042106CCAM01048P3.SAV,401752827,48,Jake_1,55,5.1,0.3,0.81,0.45,0.01,18.1,3.7,0.6,10.4,2.7,0.9,1.3,1.5,0.2,4.4,1.5,0.9,7.53,1.19,0.66,2.59,1.18,0.16,0.09,0.04,0.01,100.1,3.20137,100A/95A/95A,5.18E+14,2,5
CL5_401752999CCS_F0042106CCAM01048P3.SAV,401752999,48,Jake_1,41.4,5.3,0.5,1.39,0.59,0.06,13.7,3.6,1,21.3,4.4,0.6,3.1,1.7,0.1,9,2.7,0.5,4.32,0.75,0.32,0.57,0.69,0.1,0.16,0.06,0.01,94.91,3.20137,100A/95A/95A,1.10E+15,2,6
CL5_401753117CCS_F0042106CCAM01048P3.SAV,401753117,48,Jake_1,46.8,5,0.7,1.3,0.56,0.07,16.9,3.7,0.5,18.8,4,0.4,2.5,1.6,0.3,6.8,2.2,0.4,4.98,0.89,0.16,1.42,1.03,0.12,0.1,0.05,0.01,99.55,3.20137,100A/95A/95A,7.78E+14,2,7
CL5_401753186CCS_F0042106CCAM01048P3.SAV,401753186,48,Jake_1,41,5.3,1,1.27,0.56,0.05,11.7,3.6,0.6,20.4,4.3,0.3,4.1,1.8,0.1,9.2,2.8,0.6,3.94,0.69,0.22,0.5,0.66,0.06,0.16,0.06,0.01,92.31,3.20137,100A/95A/95A,9.54E+14,2,8
CL5_401753255CCS_F0042106CCAM01048P3.SAV,401753255,48,Jake_1,44.6,5,0.6,0.72,0.43,0.01,9,3.5,2.6,16.7,3.7,0.4,5.3,1.9,0.4,15.8,3.5,1.4,2.74,0.61,0.65,0.49,0.66,0.18,0.21,0.07,0.01,95.66,3.21812,100A/95A/95A,4.62E+14,2,9
CL5_402372860CCS_F0043232CCAM01055P3.SAV,402372860,55,Bathurst,39.9,5.5,0.5,1.32,0.57,0.1,6.7,3.3,0.2,20.6,4.3,0.3,12.4,3,0.4,4,1.4,0.7,1.66,0.65,0.06,0.85,0.8,0.09,0.24,0.07,0.01,87.68,2.52397,100A/95A/95A,1.29E+15,6, 
CL5_402372930CCS_F0043232CCAM01055P3.SAV,402372930,55,Bathurst,41.2,5.3,1,1.18,0.53,0.11,7.1,3.3,0.3,20.1,4.2,0.2,10.2,2.6,0.5,5.5,1.8,0.7,1.85,0.64,0.09,1.86,1.15,0.14,0.2,0.07,0.01,89.29,2.52397,100A/95A/95A,1.24E+15,6,1
CL5_402373001CCS_F0043232CCAM01055P3.SAV,402373001,55,Bathurst,43.3,5.1,0.3,1.08,0.51,0.05,7.4,3.4,0.2,19.9,4.2,0.2,12.2,2.9,0.5,4.4,1.5,0.3,2.04,0.63,0.07,1.73,1.12,0.13,0.19,0.06,0.01,92.18,2.52397,100A/95A/95A,1.15E+15,6, 
CL5_402373071CCS_F0043232CCAM01055P3.SAV,402373071,55,Bathurst,42.8,5.2,0.8,1.31,0.57,0.14,7.3,3.3,0.3,20,4.2,0.2,11.7,2.9,0.8,3.9,1.4,0.6,2.13,0.62,0.1,1.98,1.16,0.16,0.2,0.07,0.01,91.3,2.52397,100A/95A/95A,1.20E+15,6,2
CL5_402373141CCS_F0043232CCAM01055P3.SAV,402373141,55,Bathurst,41,5.3,0.8,1.52,0.62,0.07,6.8,3.3,0.3,20.1,4.2,0.3,11.4,2.8,0.5,4.2,1.5,0.4,1.78,0.64,0.04,1.34,1.01,0.09,0.2,0.07,0.01,88.34,2.52397,100A/95A/95A,1.37E+15,6, 
CL5_402549621CCS_F0043474CCAM01057P3.SAV,402549621,57,Rocknest3,43.9,5.1,1,2.09,0.78,0.19,9.2,3.5,0.3,27.1,4.8,1.3,4,1.7,0.1,2.5,1.1,0.3,3.31,0.64,0.13,0.95,0.85,0.11,2.38,0.72,0.08,95.44,3.71382,100A/95A/95A,1.70E+15,14,1
CL5_402549698CCS_F0043474CCAM01057P3.SAV,402549698,57,Rocknest3,43.3,5.1,0.5,2.13,0.79,0.09,8.7,3.5,0.2,26.8,4.8,0.6,4,1.7,0.1,2.7,1.1,0.2,3.54,0.65,0.11,1.19,0.95,0.08,2.07,0.72,0.15,94.42,3.71382,100A/95A/95A,1.23E+15,14,2
CL5_402549774CCS_F0043474CCAM01057P3.SAV,402549774,57,Rocknest3,47.9,4.9,1.2,1.67,0.66,0.12,12.5,3.6,1.6,19.7,4.2,0.4,3.4,1.7,0.4,6.4,2.1,1.1,3.72,0.67,0.32,1.38,1.02,0.13,0.21,0.07,0.02,96.93,3.71382,100A/95A/95A,1.10E+15,14,3
CL5_402549850CCS_F0043474CCAM01057P3.SAV,402549850,57,Rocknest3,44.8,5,1.5,2.04,0.76,0.18,9.7,3.5,0.8,21.6,4.4,0.8,3.9,1.7,0.2,7.2,2.3,1,3.14,0.63,0.28,1.06,0.89,0.18,2.59,0.72,0.65,96.03,3.71382,100A/95A/95A,1.26E+15,14,4
CL5_402549926CCS_F0043474CCAM01057P3.SAV,402549926,57,Rocknest3,46.8,5,0.9,2.42,0.9,0.16,11.3,3.5,0.6,22.2,4.5,1,3.5,1.7,0.2,3.5,1.3,0.5,3.36,0.64,0.22,1.11,0.91,0.21,1.53,0.71,0.29,95.66,3.71382,100A/95A/95A,1.38E+15,14,5
CL5_403794567CCS_F0050104CCAM03071P3.SAV,403794567,71,Peg,48.8,4.9,1.8,1.6,0.64,0.15,12.7,3.6,0.7,20,4.2,0.4,3.2,1.7,0.3,3.9,1.4,0.7,3.7,0.67,0.38,1.26,0.97,0.24,0.74,0.25,0.2,95.98,3.76047,100A/95A/95A,6.19E+14,6,1
CL5_403794643CCS_F0050104CCAM03071P3.SAV,403794643,71,Peg,47.4,4.9,0.8,1.66,0.66,0.15,12.1,3.6,0.6,21.7,4.4,0.7,3.2,1.7,0.2,4,1.4,0.6,4.09,0.71,0.11,1.77,1.13,0.07,0.73,0.24,0.26,96.64,3.76047,100A/95A/95A,5.31E+14,6,2
CL5_403794718CCS_F0050104CCAM03071P3.SAV,403794718,71,Peg,46.5,5,1.1,2.2,0.81,0.13,13.4,3.6,0.9,22.5,4.5,1.3,2.9,1.6,0.2,3.7,1.3,0.4,4.21,0.73,0.24,1.77,1.13,0.19,1.1,0.55,0.31,98.27,3.76047,100A/95A/95A,5.08E+14,6,3
CL5_403794834CCS_F0050104CCAM03071P3.SAV,403794834,71,Peg,39.8,5.5,1.5,2.15,0.8,0.4,9.2,3.5,0.5,24.4,4.6,1.8,3.2,1.7,0.3,7,2.3,1.9,2.56,0.61,0.08,0.68,0.73,0.06,0.73,0.24,0.36,89.77,3.76047,100A/95A/95A,1.08E+15,6,4
CL5_403794910CCS_F0050104CCAM03071P3.SAV,403794910,71,Peg,46.2,5,0.7,1.46,0.61,0.08,9.2,3.5,1.2,20.2,4.3,0.8,3.7,1.7,0.2,6.6,2.2,0.6,2.98,0.62,0.17,0.85,0.8,0.18,1.07,0.51,0.72,92.34,3.75239,100A/95A/95A,8.42E+14,6,5
CL5_403795060CCS_F0050104CCAM03071P3.SAV,403795060,71,Peg,48.4,4.9,0.5,1.76,0.69,0.1,9.7,3.5,0.5,21.5,4.4,0.2,3.9,1.7,0.1,3.1,1.2,0.2,3.86,0.68,0.15,1.75,1.13,0.13,1.97,0.72,0.35,95.98,3.75239,100A/95A/95A,6.50E+14,6,6
CL5_403795177CCS_F0050104CCAM03071P3.SAV,403795177,71,Peg,50.2,5,0.6,1.31,0.57,0.03,11.1,3.5,0.3,19.5,4.1,0.2,4.2,1.8,0.1,7.4,2.4,0.5,3.68,0.66,0.13,1.4,1.03,0.08,0.19,0.06,0.01,98.89,3.75239,100A/95A/95A,7.10E+14,6,7
CL5_403795252CCS_F0050104CCAM03071P3.SAV,403795252,71,Peg,47,5,0.9,1.98,0.75,0.08,9.9,3.5,0.4,20.3,4.3,0.6,3.3,1.7,0.2,4,1.4,0.5,3.41,0.65,0.22,1.27,0.98,0.14,0.65,0.2,0.18,91.82,3.75239,100A/95A/95A,1.01E+15,6,8
CL5_403795327CCS_F0050104CCAM03071P3.SAV,403795327,71,Peg,48,4.9,1.2,1.67,0.66,0.12,11.8,3.6,0.8,21.7,4.4,0.6,3.2,1.7,0.3,4.1,1.5,0.9,4.21,0.73,0.21,1.28,0.98,0.18,2.65,0.72,0.35,98.65,3.75778,100A/95A/95A,8.55E+14,6,9
CL5_403882765CCS_F0050104CCAM03072P3.SAV,403882765,72,Kilian,38.9,5.6,2.7,1.1,0.52,0.18,7.5,3.4,1.1,19.7,4.2,1.2,3.7,1.7,0.4,11.7,3.1,2.5,2.01,0.63,0.41,0.51,0.66,0.22,0.24,0.07,0.02,85.39,3.00257,100A/95A/95A,9.02E+14,4,1
CL5_403882841CCS_F0050104CCAM03072P3.SAV,403882841,72,Kilian,43.8,5.1,0.4,1.42,0.59,0.05,7.5,3.4,0.4,21,4.4,0.3,4.7,1.8,0.1,7.1,2.3,0.5,2.78,0.61,0.06,0.86,0.81,0.04,0.23,0.07,0.02,89.45,3.00257,100A/95A/95A,8.28E+14,4,2
CL5_403882916CCS_F0050104CCAM03072P3.SAV,403882916,72,Kilian,0,6.7,7.1,1.94,0.74,1.17,0,2.5,0,6.5,2.2,4.8,4.3,1.8,0.3,2.7,1.1,0.6,1.41,0.64,0.12,0.21,0.56,0.07,23.93,2.54,4.75,41.03,3.00257,100A/95A/95A,4.82E+12,4, 
CL5_403883032CCS_F0050104CCAM03072P3.SAV,403883032,72,Kilian,0,6.7,5.2,1.66,0.66,1.13,0,2.5,0.1,34.2,5.4,7.5,5.2,1.9,0.4,2.2,1,0.6,1.35,0.63,0.13,0.22,0.56,0.07,21.62,2.36,8.25,66.41,3.00257,100A/95A/95A,4.71E+12,4, 
CL5_403883108CCS_F0050104CCAM03072P3.SAV,403883108,72,Kilian,43.5,5.1,1.5,1.55,0.63,0.08,12,3.6,1,23.9,4.6,1.6,3.3,1.7,0.2,4.9,1.7,0.7,3.1,0.63,0.21,1.03,0.88,0.14,0.15,0.06,0.01,93.43,3.09973,100A/95A/95A,1.03E+15,4,3
CL5_403883259CCS_F0050104CCAM03072P3.SAV,403883259,72,Kilian,49,5,2.2,1.41,0.59,0.24,9.4,3.5,1,19.1,4.1,1,4.5,1.8,0.3,5.2,1.7,1.2,3.33,0.64,0.25,2.12,1.18,0.18,0.08,0.04,0.02,94.14,3.09973,100A/95A/95A,5.27E+14,4,4
CL5_403883375CCS_F0050104CCAM03072P3.SAV,403883375,72,Kilian,49.1,5,4.5,1.13,0.52,0.15,8.9,3.5,0.5,19.7,4.2,0.4,6.6,2.1,0.9,3.5,1.3,2,1.08,0.58,0.26,0.17,0.55,0.04,0.1,0.05,0.03,90.32,3.09973,100A/95A/95A,4.94E+14,4,5
CL5_403883450CCS_F0050104CCAM03072P3.SAV,403883450,72,Kilian,50.4,5,1.1,0.7,0.42,0.02,16.4,3.7,0.4,8,2.4,2.6,5.7,1.9,0.4,9,2.7,0.5,3.18,0.63,0.19,0.24,0.57,0.02,0.06,0.03,0.02,93.63,3.09973,100A/95A/95A,4.72E+14,4,6
CL5_403883525CCS_F0050104CCAM03072P3.SAV,403883525,72,Kilian,57.4,5.2,0.4,0.81,0.45,0.01,21.8,3.8,0.7,3.2,1.8,1.4,1.8,1.5,0.2,8.7,2.7,0.1,6,1.03,0.13,0.6,0.7,0.06,0.09,0.04,0.02,100.4,3.10896,100A/95A/95A,2.73E+14,4,7
CL5_404325218CCS_F0050104CCAM02077P3.SAV,404325218,77,Rocknest3_DP,46.7,5,0.7,1.74,0.68,0.28,11.8,3.6,1.3,20.7,4.3,1.5,3.6,1.7,0.2,6.2,2,1.5,3.32,0.64,0.2,1.12,0.92,0.13,0.29,0.09,0.21,95.42,3.44386,100A/95A/95A,1.10E+15,14,1
CL5_404325375CCS_F0050104CCAM02077P3.SAV,404325375,77,Rocknest3_DP,49.7,5,1.3,1.38,0.58,0.14,14.5,3.6,1.5,19.7,4.2,0.5,3.4,1.7,0.4,4.6,1.6,0.7,3.96,0.69,0.26,1.42,1.03,0.14,0.43,0.14,0.26,99.17,3.44386,100A/95A/95A,8.62E+14,14,2
CL5_404325531CCS_F0050104CCAM02077P3.SAV,404325531,77,Rocknest3_DP,44.4,5,1.1,1.5,0.62,0.13,11.7,3.6,0.6,21.2,4.4,1,3.6,1.7,0.1,7,2.3,0.5,3.78,0.67,0.13,1.36,1.01,0.1,0.23,0.07,0.01,94.83,3.44386,100A/95A/95A,8.91E+14,14,3
CL5_404325687CCS_F0050104CCAM02077P3.SAV,404325687,77,Rocknest3_DP,47.4,4.9,1.3,1.56,0.63,0.28,12.7,3.6,0.8,19.9,4.2,1.3,3.5,1.7,0.4,5.7,1.9,1.1,3.85,0.68,0.15,1.42,1.03,0.14,0.21,0.07,0.01,96.3,3.44386,100A/95A/95A,7.72E+14,14,4
CL5_404768560CCS_F0050104CCAM01082P3.SAV,404768560,82,Rocknest3_1,42.1,5.2,1.2,1.93,0.73,0.16,9.7,3.5,0.4,27.7,4.9,1.9,3.3,1.7,0.1,4.2,1.5,0.4,2.99,0.62,0.19,1.11,0.91,0.19,0.9,0.34,0.15,93.87,3.48051,100A/95A/95A,1.70E+15,14,1
CL5_404768634CCS_F0050104CCAM01082P3.SAV,404768634,82,Rocknest3_1,42.1,5.2,0.4,2.05,0.77,0.14,8.2,3.4,0.3,31.4,5.2,0.9,2.7,1.6,0.1,2.4,1.1,0.3,2.98,0.62,0.14,0.95,0.85,0.07,1.27,0.67,0.18,94.14,3.48051,100A/95A/95A,1.49E+15,14,2
CL5_404768702CCS_F0050104CCAM01082P3.SAV,404768702,82,Rocknest3_1,40.7,5.4,0.7,1.86,0.72,0.04,9.6,3.5,0.4,29.8,5,0.8,3.1,1.7,0.1,3.7,1.3,0.4,2.95,0.62,0.11,0.94,0.84,0.12,0.76,0.26,0.17,93.52,3.48051,100A/95A/95A,1.87E+15,14,3
CL5_404768770CCS_F0050104CCAM01082P3.SAV,404768770,82,Rocknest3_1,41.7,5.3,0.9,1.22,0.54,0.03,10.4,3.5,0.7,25.9,4.7,1.1,6,2,0.3,4.9,1.7,0.8,2.7,0.61,0.15,0.78,0.77,0.07,0.48,0.15,0.17,94.02,3.48051,100A/95A/95A,1.50E+15,14,4
CL5_404768838CCS_F0050104CCAM01082P3.SAV,404768838,82,Rocknest3_1,42.4,5.2,0.5,1.62,0.65,0.07,10.2,3.5,0.8,29.5,5,0.8,4.4,1.8,0.5,2.6,1.1,0.1,2.83,0.62,0.11,0.58,0.69,0.06,0.83,0.3,0.09,94.97,3.47358,100A/95A/95A,1.68E+15,14,5
CL5_404768984CCS_F0050104CCAM01082P3.SAV,404768984,82,Rocknest3_1,43.8,5.1,0.8,1.55,0.63,0.04,11,3.5,0.8,27.5,4.9,1.2,2.7,1.6,0.1,2.8,1.1,0.1,2.98,0.62,0.13,0.79,0.78,0.06,0.2,0.07,0.05,93.24,3.47358,100A/95A/95A,1.31E+15,14,6
CL5_404769052CCS_F0050104CCAM01082P3.SAV,404769052,82,Rocknest3_1,39.6,5.5,0.9,0.95,0.48,0.04,8.1,3.4,0.6,26.6,4.8,1.5,4.7,1.8,0.2,9,2.7,0.8,2.75,0.61,0.1,0.67,0.73,0.11,0.34,0.11,0.16,92.63,3.47358,100A/95A/95A,1.06E+15,14,7
CL5_404769120CCS_F0050104CCAM01082P3.SAV,404769120,82,Rocknest3_1,42.4,5.2,0.8,1.49,0.61,0.08,8.3,3.4,0.3,28.8,5,0.9,3.7,1.7,0.3,3.8,1.4,1.1,2.78,0.61,0.26,0.6,0.7,0.05,1.41,0.7,0.55,93.24,3.47358,100A/95A/95A,1.46E+15,14,8
CL5_404769188CCS_F0050104CCAM01082P3.SAV,404769188,82,Rocknest3_1,40.6,5.4,0.4,1.56,0.63,0.04,10.2,3.5,0.5,30.6,5.1,0.7,3.3,1.7,0.1,4.3,1.5,0.3,2.72,0.61,0.06,0.57,0.69,0.04,0.6,0.17,0.15,94.47,3.47358,100A/95A/95A,1.28E+15,14,9
CL5_404769375CCS_F0050104CCAM01082P3.SAV,404769375,82,Rocknest3_1,39.2,5.6,0.6,1.58,0.64,0.09,9.2,3.5,0.7,32.7,5.2,0.7,3.3,1.7,0.2,3,1.2,0.3,2.79,0.61,0.09,0.55,0.68,0.04,1.05,0.49,0.19,93.52,3.50616,100A/95A/95A,1.33E+15,14,10
CL5_404934115CCS_F0050104CCAM01083P3.SAV,404934115,84,Rocknest3_2,42,5.2,0.8,2.33,0.86,0.15,8.2,3.4,0.4,27.3,4.9,0.6,3.5,1.7,0.2,3.9,1.4,0.8,2.91,0.62,0.11,0.86,0.81,0.1,1.96,0.72,0.52,92.97,3.48979,100A/95A/95A,1.22E+15,14,1
CL5_404934189CCS_F0050104CCAM01083P3.SAV,404934189,84,Rocknest3_2,42.5,5.2,0.9,2.29,0.85,0.14,9.8,3.5,0.4,25.1,4.7,1,2.9,1.6,0.1,4.8,1.6,0.9,3.51,0.65,0.2,1.42,1.03,0.13,0.24,0.07,0.09,92.46,3.48979,100A/95A/95A,1.19E+15,14,2
CL5_404934257CCS_F0050104CCAM01083P3.SAV,404934257,84,Rocknest3_2,45.7,5,0.8,2.13,0.79,0.15,10.9,3.5,0.8,22.5,4.5,1,3.4,1.7,0.2,5,1.7,0.9,3.44,0.65,0.16,1.31,0.99,0.11,0.48,0.15,0.35,95.02,3.48979,100A/95A/95A,1.15E+15,14,3
CL5_404934325CCS_F0050104CCAM01083P3.SAV,404934325,84,Rocknest3_2,45.3,5,1.3,2.3,0.85,0.14,10.2,3.5,0.7,23.3,4.6,1,3.7,1.7,0.4,4.7,1.6,1,3.26,0.64,0.26,1.28,0.98,0.19,0.85,0.31,0.19,94.85,3.48979,100A/95A/95A,1.12E+15,14,4
CL5_404934393CCS_F0050104CCAM01083P3.SAV,404934393,84,Rocknest3_2,47.5,4.9,1.2,1.74,0.68,0.22,11.5,3.5,1.1,19.8,4.2,0.6,3.4,1.7,0.4,6.6,2.2,1.3,3.67,0.66,0.22,1.48,1.05,0.16,0.23,0.07,0.02,96.05,3.48631,100A/95A/95A,9.52E+14,14,5
CL5_404934568CCS_F0050104CCAM01083P3.SAV,404934568,84,Rocknest3_2,44.5,5,0.7,1.82,0.71,0.06,8.3,3.4,0.3,24.3,4.6,0.6,5.7,1.9,0.3,4.9,1.7,0.9,2.87,0.62,0.18,0.89,0.82,0.11,2.3,0.72,0.26,95.55,3.48631,100A/95A/95A,1.11E+15,14,6
CL5_404934636CCS_F0050104CCAM01083P3.SAV,404934636,84,Rocknest3_2,45.6,5,0.8,1.66,0.66,0.15,11.4,3.5,0.9,21.3,4.4,1,3.9,1.7,0.6,6.4,2.1,0.6,3.67,0.66,0.23,1.35,1.01,0.12,0.25,0.08,0.02,95.56,3.48631,100A/95A/95A,8.92E+14,14,7
CL5_404934704CCS_F0050104CCAM01083P3.SAV,404934704,84,Rocknest3_2,42.4,5.2,1.7,2.31,0.85,0.31,9.8,3.5,0.6,28.4,4.9,1.5,2.9,1.6,0.2,2,1,0.4,3.31,0.64,0.24,0.85,0.8,0.11,2.24,0.72,0.26,94.07,3.48631,100A/95A/95A,1.12E+15,14,8
