File,Target,Facies,Spacecraft Clock,Sol,Sequence ID,Observation Point,SiO2,+/-,SiO2 RMSEP,SiO2_shots_stdev,TiO2,+/-.1,TiO2 RMSEP,TiO2_shots_stdev,Al2O3,+/-.2,Al2O3 RMSEP,Al2O3_shots_stdev,FeOT,+/-.3,FeOT RMSEP,FeOT_shots_stdev,MgO,+/-.4,MgO RMSEP,MgO_shots_stdev,CaO,+/-.5,CaO RMSEP,CaO_shots_stdev,Na2O,+/-.6,Na2O RMSEP,Na2O_shots_stdev,K2O,+/-.7,K2O RMSEP,K2O_shots_stdev,MnO,+/-.8,MnO RMSEP,MnO_shots_stdev,Sum of Oxides,Distance (m),Laser Power,Spectrum Total
CL5_402372860CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402372860.0,55.0,CCAM01055,1.0,39.9,+/-,5.5,0.5,1.32,+/-,0.57,0.1,6.7,+/-,3.3,0.2,20.6,+/-,4.0,0.3,12.4,+/-,3.0,0.4,4.0,+/-,1.5,0.7,1.66,+/-,0.64,0.06,0.85,+/-,0.8,0.09,0.24,+/-,0.07,0.01,87.68,2.52397,100A/95A/95A,1290000000000000.0
CL5_402372930CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402372930.0,55.0,CCAM01055,2.0,41.2,+/-,5.3,1.0,1.18,+/-,0.53,0.11,7.1,+/-,3.3,0.3,20.1,+/-,3.9,0.2,10.2,+/-,2.6,0.5,5.5,+/-,1.8,0.7,1.85,+/-,0.63,0.09,1.86,+/-,1.13,0.14,0.2,+/-,0.07,0.01,89.29,2.52397,100A/95A/95A,1240000000000000.0
CL5_402373001CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402373001.0,55.0,CCAM01055,3.0,43.3,+/-,5.2,0.3,1.08,+/-,0.51,0.05,7.4,+/-,3.3,0.2,19.9,+/-,3.9,0.2,12.2,+/-,2.9,0.5,4.4,+/-,1.5,0.3,2.04,+/-,0.63,0.07,1.73,+/-,1.11,0.13,0.19,+/-,0.06,0.01,92.18,2.52397,100A/95A/95A,1150000000000000.0
CL5_402373071CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402373071.0,55.0,CCAM01055,4.0,42.8,+/-,5.2,0.8,1.31,+/-,0.57,0.14,7.3,+/-,3.3,0.3,20.0,+/-,3.9,0.2,11.7,+/-,2.8,0.8,3.9,+/-,1.4,0.6,2.13,+/-,0.62,0.1,1.98,+/-,1.15,0.16,0.2,+/-,0.07,0.01,91.3,2.52397,100A/95A/95A,1200000000000000.0
CL5_402373141CCS_F0043232CCAM01055P3.SAV,Bathurst,1.0,402373141.0,55.0,CCAM01055,5.0,41.0,+/-,5.4,0.8,1.52,+/-,0.62,0.07,6.8,+/-,3.3,0.3,20.1,+/-,3.9,0.3,11.4,+/-,2.8,0.5,4.2,+/-,1.5,0.4,1.78,+/-,0.64,0.04,1.34,+/-,1.0,0.09,0.2,+/-,0.07,0.01,88.34,2.52397,100A/95A/95A,1370000000000000.0
CL5_442503669CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442503669.0,25.0,CCAM15025,1.0,44.9,+/-,5.1,0.9,1.07,+/-,0.51,0.07,9.7,+/-,3.5,0.7,19.7,+/-,3.9,0.4,6.4,+/-,2.0,0.3,6.0,+/-,2.0,1.0,2.5,+/-,0.62,0.16,1.23,+/-,0.96,0.26,0.23,+/-,0.07,0.01,91.65,3.09606,100A/95A/95A,882000000000000.0
CL5_442503761CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442503761.0,25.0,CCAM15025,2.0,44.5,+/-,5.1,0.7,1.29,+/-,0.56,0.09,8.1,+/-,3.4,0.4,20.3,+/-,3.9,0.3,10.1,+/-,2.6,0.3,3.5,+/-,1.3,0.5,2.68,+/-,0.62,0.18,1.1,+/-,0.91,0.11,0.2,+/-,0.07,0.01,91.72,3.09606,100A/95A/95A,986000000000000.0
CL5_442503849CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442503849.0,25.0,CCAM15025,3.0,44.2,+/-,5.1,0.4,1.27,+/-,0.56,0.07,8.1,+/-,3.4,0.3,20.9,+/-,4.0,0.5,8.5,+/-,2.4,0.8,4.5,+/-,1.6,0.9,2.29,+/-,0.62,0.16,1.26,+/-,0.97,0.14,0.17,+/-,0.06,0.01,91.29,3.09606,100A/95A/95A,983000000000000.0
CL5_442504082CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442504082.0,25.0,CCAM15025,4.0,42.5,+/-,5.2,0.5,1.47,+/-,0.61,0.09,6.7,+/-,3.3,0.3,19.8,+/-,3.9,0.2,11.5,+/-,2.8,0.3,4.3,+/-,1.5,0.7,2.06,+/-,0.63,0.17,0.84,+/-,0.8,0.08,0.18,+/-,0.06,0.01,89.39,3.09606,100A/95A/95A,837000000000000.0
CL5_442504174CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442504174.0,25.0,CCAM15025,5.0,43.1,+/-,5.2,0.5,1.11,+/-,0.52,0.07,7.5,+/-,3.4,0.3,20.4,+/-,4.0,0.3,9.1,+/-,2.4,0.3,4.7,+/-,1.6,0.4,1.99,+/-,0.63,0.08,0.91,+/-,0.83,0.08,0.21,+/-,0.07,0.01,88.99,3.09606,100A/95A/95A,781000000000000.0
CL5_442504262CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442504262.0,25.0,CCAM15025,6.0,39.4,+/-,5.6,1.4,1.02,+/-,0.5,0.09,6.8,+/-,3.3,1.5,19.7,+/-,3.9,1.2,10.5,+/-,2.7,2.0,5.2,+/-,1.8,1.6,1.59,+/-,0.63,0.16,0.3,+/-,0.6,0.11,0.12,+/-,0.05,0.03,84.54,3.09606,100A/95A/95A,644000000000000.0
CL5_442504495CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442504495.0,25.0,CCAM15025,7.0,42.4,+/-,5.2,1.3,0.85,+/-,0.46,0.1,9.1,+/-,3.5,0.7,18.0,+/-,3.7,0.5,7.6,+/-,2.2,0.4,7.3,+/-,2.3,0.4,1.91,+/-,0.63,0.15,0.22,+/-,0.57,0.04,0.1,+/-,0.05,0.02,87.56,3.11081,100A/95A/95A,393000000000000.0
CL5_442504587CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442504587.0,25.0,CCAM15025,8.0,49.1,+/-,5.0,2.8,0.8,+/-,0.45,0.07,18.7,+/-,3.7,2.6,15.3,+/-,3.4,0.9,4.5,+/-,1.8,1.7,8.4,+/-,2.6,0.8,4.49,+/-,0.77,0.81,0.52,+/-,0.67,0.14,0.1,+/-,0.05,0.03,101.93,3.11081,100A/95A/95A,285000000000000.0
CL5_442504675CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442504675.0,25.0,CCAM15025,9.0,48.4,+/-,5.0,0.4,0.87,+/-,0.47,0.05,13.4,+/-,3.6,0.7,13.5,+/-,3.1,0.2,9.1,+/-,2.4,0.6,7.4,+/-,2.3,0.2,3.6,+/-,0.66,0.17,0.19,+/-,0.56,0.02,0.2,+/-,0.07,0.01,96.58,3.11081,100A/95A/95A,478000000000000.0
CL5_442504763CCS_F0250242CCAM15025P3.SAV,CC_BT_0507a,1.0,442504763.0,25.0,CCAM15025,10.0,43.6,+/-,5.1,0.5,1.26,+/-,0.55,0.12,8.8,+/-,3.5,0.5,20.7,+/-,4.0,0.8,8.9,+/-,2.4,0.3,5.4,+/-,1.8,0.3,2.34,+/-,0.62,0.11,1.06,+/-,0.89,0.13,0.19,+/-,0.06,0.01,92.28,3.11081,100A/95A/95A,908000000000000.0
CL5_427848193CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427848193.0,342.0,CCAM01342,1.0,47.5,+/-,5.0,0.5,0.84,+/-,0.46,0.02,9.3,+/-,3.5,0.2,19.0,+/-,3.8,0.3,10.1,+/-,2.6,0.3,5.5,+/-,1.8,0.3,2.46,+/-,0.62,0.05,0.45,+/-,0.65,0.05,0.16,+/-,0.06,0.01,95.17,3.12571,100A/95A/95A,595000000000000.0
CL5_427848262CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427848262.0,342.0,CCAM01342,2.0,42.8,+/-,5.2,0.4,0.95,+/-,0.48,0.03,8.7,+/-,3.5,0.3,20.4,+/-,4.0,0.2,7.5,+/-,2.2,0.5,8.1,+/-,2.5,0.8,2.45,+/-,0.62,0.08,0.5,+/-,0.67,0.04,0.23,+/-,0.07,0.01,91.66,3.12571,100A/95A/95A,709000000000000.0
CL5_427848327CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427848327.0,342.0,CCAM01342,3.0,48.3,+/-,5.0,1.2,1.3,+/-,0.56,0.06,10.8,+/-,3.5,0.5,21.3,+/-,4.0,0.4,5.7,+/-,2.0,0.1,2.8,+/-,1.2,0.3,3.34,+/-,0.64,0.21,1.19,+/-,0.94,0.17,0.15,+/-,0.06,0.01,94.89,3.12571,100A/95A/95A,516000000000000.0
CL5_427848534CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427848534.0,342.0,CCAM01342,4.0,44.8,+/-,5.1,0.8,0.98,+/-,0.49,0.04,9.4,+/-,3.5,0.3,20.6,+/-,4.0,0.2,9.6,+/-,2.5,0.4,6.0,+/-,2.0,0.4,2.33,+/-,0.62,0.08,0.39,+/-,0.63,0.05,0.2,+/-,0.07,0.01,94.37,3.15211,100A/95A/95A,947000000000000.0
CL5_427848603CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427848603.0,342.0,CCAM01342,5.0,42.7,+/-,5.2,0.4,0.72,+/-,0.43,0.05,6.8,+/-,3.3,0.3,17.0,+/-,3.6,0.6,5.4,+/-,1.9,0.2,2.2,+/-,1.1,0.3,5.18,+/-,0.88,0.12,0.34,+/-,0.61,0.02,13.6,+/-,1.56,1.7,93.95,3.15211,100A/95A/95A,796000000000000.0
CL5_427848668CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427848668.0,342.0,CCAM01342,6.0,42.4,+/-,5.2,4.4,0.99,+/-,0.49,0.18,10.2,+/-,3.5,1.1,22.2,+/-,4.1,1.0,6.1,+/-,2.0,1.9,5.8,+/-,1.9,1.3,2.29,+/-,0.62,0.52,0.38,+/-,0.62,0.09,0.16,+/-,0.06,0.99,90.42,3.15211,100A/95A/95A,151000000000000.0
CL5_427848876CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427848876.0,342.0,CCAM01342,7.0,41.5,+/-,5.3,1.5,0.82,+/-,0.45,0.2,9.0,+/-,3.5,0.7,18.5,+/-,3.8,1.3,8.0,+/-,2.3,0.6,7.4,+/-,2.3,0.8,1.97,+/-,0.63,0.22,0.22,+/-,0.57,0.05,0.14,+/-,0.06,0.02,87.5,3.20529,100A/95A/95A,273000000000000.0
CL5_427848945CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427848945.0,342.0,CCAM01342,8.0,67.9,+/-,5.4,0.8,0.69,+/-,0.42,0.03,6.0,+/-,3.2,0.3,7.3,+/-,2.3,0.6,11.5,+/-,2.8,0.7,1.7,+/-,1.0,0.4,1.85,+/-,0.63,0.12,0.46,+/-,0.65,0.06,0.09,+/-,0.04,0.01,97.5,3.20529,100A/95A/95A,254000000000000.0
CL5_427849010CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427849010.0,342.0,CCAM01342,9.0,47.5,+/-,5.0,0.5,0.75,+/-,0.44,0.01,9.2,+/-,3.5,0.3,19.2,+/-,3.8,0.2,9.9,+/-,2.6,0.2,6.2,+/-,2.0,0.2,2.34,+/-,0.62,0.09,0.33,+/-,0.61,0.02,0.14,+/-,0.06,0.01,95.61,3.20529,100A/95A/95A,514000000000000.0
CL5_427849074CCS_F0090000CCAM01342P3.SAV,Caribou,1.0,427849074.0,342.0,CCAM01342,10.0,48.8,+/-,5.0,0.6,0.85,+/-,0.46,0.02,11.9,+/-,3.6,0.5,19.1,+/-,3.8,0.4,8.8,+/-,2.4,0.2,6.5,+/-,2.1,0.1,2.6,+/-,0.62,0.15,0.34,+/-,0.61,0.04,0.15,+/-,0.06,0.01,99.06,3.24208,100A/95A/95A,502000000000000.0
CL5_426436412CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426436412.0,326.0,CCAM01326,1.0,44.8,+/-,5.1,1.2,1.83,+/-,0.71,0.14,8.6,+/-,3.4,0.6,21.1,+/-,4.0,0.6,8.8,+/-,2.4,0.5,4.2,+/-,1.5,0.4,3.0,+/-,0.62,0.11,1.86,+/-,1.13,0.14,0.19,+/-,0.06,0.01,94.38,3.74034,100A/95A/95A,1040000000000000.0
CL5_426436482CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426436482.0,326.0,CCAM01326,2.0,44.6,+/-,5.1,0.6,1.52,+/-,0.62,0.11,7.6,+/-,3.4,0.3,21.4,+/-,4.1,0.4,11.8,+/-,2.9,0.5,3.6,+/-,1.4,0.4,2.53,+/-,0.62,0.06,1.57,+/-,1.07,0.14,0.21,+/-,0.07,0.01,94.93,3.74034,100A/95A/95A,1180000000000000.0
CL5_426436545CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426436545.0,326.0,CCAM01326,3.0,47.2,+/-,5.0,0.9,1.31,+/-,0.57,0.12,9.1,+/-,3.5,0.5,20.8,+/-,4.0,0.2,12.0,+/-,2.9,0.8,3.6,+/-,1.3,0.8,2.53,+/-,0.62,0.12,1.73,+/-,1.11,0.16,0.21,+/-,0.07,0.01,98.39,3.74034,100A/95A/95A,926000000000000.0
CL5_426436609CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426436609.0,326.0,CCAM01326,4.0,44.1,+/-,5.1,0.6,2.26,+/-,0.83,0.37,8.7,+/-,3.5,0.3,22.2,+/-,4.1,0.8,8.8,+/-,2.4,0.5,3.7,+/-,1.4,0.8,2.36,+/-,0.62,0.07,1.4,+/-,1.02,0.1,0.19,+/-,0.06,0.01,93.71,3.74034,100A/95A/95A,1090000000000000.0
CL5_426436673CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426436673.0,326.0,CCAM01326,5.0,45.6,+/-,5.0,0.6,1.85,+/-,0.71,0.16,9.5,+/-,3.5,0.6,21.0,+/-,4.0,0.3,7.8,+/-,2.3,0.7,4.2,+/-,1.5,0.8,2.61,+/-,0.62,0.16,1.87,+/-,1.14,0.19,0.17,+/-,0.06,0.01,94.7,3.74034,100A/95A/95A,1030000000000000.0
CL5_426436948CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426436948.0,326.0,CCAM01326,6.0,44.1,+/-,5.1,1.6,2.01,+/-,0.75,0.3,8.2,+/-,3.4,0.8,21.3,+/-,4.0,0.6,9.5,+/-,2.5,0.5,4.6,+/-,1.6,0.6,2.31,+/-,0.62,0.18,1.48,+/-,1.04,0.3,0.19,+/-,0.06,0.01,93.7,3.73101,100A/95A/95A,1120000000000000.0
CL5_426437114CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426437114.0,326.0,CCAM01326,7.0,43.1,+/-,5.2,0.5,1.88,+/-,0.72,0.14,7.4,+/-,3.3,0.2,22.3,+/-,4.1,0.7,8.4,+/-,2.3,1.0,3.8,+/-,1.4,0.4,2.29,+/-,0.62,0.06,1.58,+/-,1.07,0.15,0.19,+/-,0.06,0.02,91.08,3.73101,100A/95A/95A,1270000000000000.0
CL5_426437178CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426437178.0,326.0,CCAM01326,8.0,45.6,+/-,5.0,0.4,1.75,+/-,0.69,0.08,8.7,+/-,3.5,0.4,20.3,+/-,4.0,0.2,11.0,+/-,2.7,0.4,3.2,+/-,1.3,0.3,2.31,+/-,0.62,0.1,1.52,+/-,1.05,0.18,0.19,+/-,0.06,0.01,94.67,3.73101,100A/95A/95A,1150000000000000.0
CL5_426437242CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426437242.0,326.0,CCAM01326,9.0,45.7,+/-,5.0,0.9,1.84,+/-,0.71,0.12,8.3,+/-,3.4,0.4,20.7,+/-,4.0,0.3,9.5,+/-,2.5,0.4,4.6,+/-,1.6,0.7,2.34,+/-,0.62,0.11,1.48,+/-,1.04,0.18,0.2,+/-,0.07,0.01,94.64,3.73101,100A/95A/95A,1190000000000000.0
CL5_426437306CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426437306.0,326.0,CCAM01326,10.0,46.1,+/-,5.0,0.4,1.79,+/-,0.7,0.1,8.8,+/-,3.5,0.4,21.0,+/-,4.0,0.2,9.4,+/-,2.5,0.5,4.1,+/-,1.5,0.3,2.69,+/-,0.62,0.11,1.84,+/-,1.13,0.1,0.19,+/-,0.06,0.01,95.95,3.73101,100A/95A/95A,1150000000000000.0
CL5_426437432CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426437432.0,326.0,CCAM01326,11.0,43.1,+/-,5.2,0.8,1.57,+/-,0.64,0.07,7.6,+/-,3.4,0.2,21.2,+/-,4.0,0.3,11.3,+/-,2.8,0.3,4.5,+/-,1.6,0.4,2.18,+/-,0.62,0.07,1.31,+/-,0.99,0.16,0.21,+/-,0.07,0.01,93.02,3.73234,100A/95A/95A,1130000000000000.0
CL5_426437598CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426437598.0,326.0,CCAM01326,12.0,47.5,+/-,5.0,0.6,1.44,+/-,0.6,0.08,9.1,+/-,3.5,0.5,20.8,+/-,4.0,0.1,10.3,+/-,2.6,0.6,4.5,+/-,1.6,0.7,2.51,+/-,0.62,0.12,1.78,+/-,1.12,0.22,0.2,+/-,0.07,0.01,98.19,3.73234,100A/95A/95A,1140000000000000.0
CL5_426437662CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426437662.0,326.0,CCAM01326,13.0,43.1,+/-,5.2,0.9,1.72,+/-,0.68,0.14,7.6,+/-,3.4,0.3,21.6,+/-,4.1,0.8,10.7,+/-,2.7,0.7,4.1,+/-,1.5,0.3,2.17,+/-,0.62,0.08,1.3,+/-,0.98,0.18,0.21,+/-,0.07,0.01,92.49,3.73234,100A/95A/95A,1320000000000000.0
CL5_426437874CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426437874.0,326.0,CCAM01326,14.0,45.3,+/-,5.0,0.5,1.74,+/-,0.68,0.18,8.8,+/-,3.5,0.3,21.0,+/-,4.0,0.3,9.9,+/-,2.6,0.6,4.1,+/-,1.5,0.5,2.43,+/-,0.62,0.07,1.61,+/-,1.08,0.12,0.2,+/-,0.07,0.01,94.96,3.74435,100A/95A/95A,1120000000000000.0
CL5_426437939CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426437939.0,326.0,CCAM01326,15.0,44.0,+/-,5.1,0.7,1.75,+/-,0.69,0.16,9.0,+/-,3.5,0.3,21.6,+/-,4.1,0.5,8.5,+/-,2.4,0.7,4.5,+/-,1.6,0.6,2.33,+/-,0.62,0.08,1.61,+/-,1.08,0.16,0.19,+/-,0.06,0.01,93.49,3.74435,100A/95A/95A,1250000000000000.0
CL5_426438065CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438065.0,326.0,CCAM01326,16.0,42.7,+/-,5.2,0.6,2.22,+/-,0.82,0.15,8.4,+/-,3.4,0.3,21.6,+/-,4.1,0.5,9.3,+/-,2.5,0.6,3.2,+/-,1.3,0.3,2.54,+/-,0.62,0.08,1.68,+/-,1.1,0.11,0.18,+/-,0.06,0.01,91.86,3.74435,100A/95A/95A,1050000000000000.0
CL5_426438232CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438232.0,326.0,CCAM01326,17.0,44.9,+/-,5.1,0.8,1.67,+/-,0.66,0.08,8.5,+/-,3.4,0.5,21.5,+/-,4.1,0.3,9.5,+/-,2.5,0.4,4.2,+/-,1.5,0.6,2.37,+/-,0.62,0.12,1.65,+/-,1.09,0.14,0.2,+/-,0.07,0.01,94.44,3.74435,100A/95A/95A,1130000000000000.0
CL5_426438296CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438296.0,326.0,CCAM01326,18.0,41.2,+/-,5.3,0.6,1.73,+/-,0.68,0.06,7.4,+/-,3.3,0.4,23.6,+/-,4.2,0.5,8.6,+/-,2.4,0.4,4.7,+/-,1.6,0.4,2.35,+/-,0.62,0.09,1.17,+/-,0.93,0.14,0.19,+/-,0.06,0.01,90.96,3.74435,100A/95A/95A,1190000000000000.0
CL5_426438360CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438360.0,326.0,CCAM01326,19.0,45.1,+/-,5.0,0.9,1.58,+/-,0.64,0.11,7.9,+/-,3.4,0.6,21.1,+/-,4.0,0.2,10.4,+/-,2.7,0.5,4.5,+/-,1.6,0.3,2.39,+/-,0.62,0.14,1.62,+/-,1.08,0.18,0.21,+/-,0.07,0.01,94.83,3.74435,100A/95A/95A,1100000000000000.0
CL5_426438424CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438424.0,326.0,CCAM01326,20.0,44.3,+/-,5.1,0.9,1.58,+/-,0.64,0.05,7.8,+/-,3.4,0.2,21.3,+/-,4.0,0.3,9.4,+/-,2.5,0.4,5.6,+/-,1.9,0.3,2.29,+/-,0.62,0.1,1.33,+/-,0.99,0.15,0.19,+/-,0.06,0.01,93.79,3.74435,100A/95A/95A,1090000000000000.0
CL5_426438551CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438551.0,326.0,CCAM01326,21.0,45.0,+/-,5.0,0.9,1.62,+/-,0.65,0.09,8.2,+/-,3.4,0.4,21.1,+/-,4.0,0.2,10.8,+/-,2.7,0.5,3.9,+/-,1.4,0.4,2.45,+/-,0.62,0.1,1.62,+/-,1.08,0.15,0.2,+/-,0.07,0.01,94.99,3.74435,100A/95A/95A,1020000000000000.0
CL5_426438762CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438762.0,326.0,CCAM01326,22.0,45.9,+/-,5.0,0.6,1.22,+/-,0.54,0.05,7.6,+/-,3.4,0.4,20.7,+/-,4.0,0.1,11.7,+/-,2.8,0.7,4.9,+/-,1.7,0.5,2.56,+/-,0.62,0.09,1.53,+/-,1.06,0.1,0.2,+/-,0.07,0.01,96.21,3.735,100A/95A/95A,1050000000000000.0
CL5_426438827CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438827.0,326.0,CCAM01326,23.0,46.4,+/-,5.0,0.7,1.58,+/-,0.64,0.09,8.4,+/-,3.4,0.4,20.7,+/-,4.0,0.2,10.1,+/-,2.6,0.3,4.8,+/-,1.7,0.8,2.51,+/-,0.62,0.09,1.56,+/-,1.07,0.15,0.18,+/-,0.06,0.01,96.28,3.735,100A/95A/95A,1110000000000000.0
CL5_426438891CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438891.0,326.0,CCAM01326,24.0,47.1,+/-,5.0,1.3,1.68,+/-,0.67,0.11,9.2,+/-,3.5,1.1,20.5,+/-,4.0,0.1,9.7,+/-,2.5,0.4,4.4,+/-,1.5,0.9,2.43,+/-,0.62,0.27,1.45,+/-,1.03,0.34,0.18,+/-,0.06,0.01,96.54,3.735,100A/95A/95A,1250000000000000.0
CL5_426438955CCS_F0070000CCAM01326P3.SAV,Chantrey,1.0,426438955.0,326.0,CCAM01326,25.0,46.4,+/-,5.0,0.7,1.31,+/-,0.57,0.09,7.7,+/-,3.4,0.4,20.7,+/-,4.0,0.2,13.2,+/-,3.1,0.4,4.0,+/-,1.4,0.3,2.41,+/-,0.62,0.12,1.45,+/-,1.03,0.19,0.22,+/-,0.07,0.01,97.27,3.735,100A/95A/95A,1160000000000000.0
CL5_407796479CCS_F0050432CCAM03116P3.SAV,Duncan_Lake_vertical_start,1.0,407796479.0,116.0,CCAM03116,1.0,44.8,+/-,5.1,0.6,1.35,+/-,0.58,0.14,7.6,+/-,3.4,0.4,20.8,+/-,4.0,0.4,11.1,+/-,2.8,1.0,4.9,+/-,1.7,0.6,2.06,+/-,0.63,0.1,1.13,+/-,0.92,0.2,0.18,+/-,0.06,0.02,93.89,3.1809,100A/95A/95A,1400000000000000.0
CL5_407796555CCS_F0050432CCAM03116P3.SAV,Duncan_Lake_vertical_start,1.0,407796555.0,116.0,CCAM03116,2.0,44.6,+/-,5.1,0.6,1.34,+/-,0.57,0.09,8.8,+/-,3.5,0.5,20.5,+/-,4.0,0.1,11.4,+/-,2.8,0.5,4.0,+/-,1.5,0.4,2.21,+/-,0.62,0.09,0.98,+/-,0.86,0.19,0.18,+/-,0.06,0.01,94.04,3.1809,100A/95A/95A,1310000000000000.0
CL5_407796630CCS_F0050432CCAM03116P3.SAV,Duncan_Lake_vertical_start,1.0,407796630.0,116.0,CCAM03116,3.0,43.3,+/-,5.2,0.6,1.14,+/-,0.52,0.06,7.0,+/-,3.3,0.4,20.9,+/-,4.0,0.3,12.1,+/-,2.9,0.7,6.0,+/-,2.0,0.9,1.85,+/-,0.63,0.07,0.88,+/-,0.82,0.13,0.19,+/-,0.06,0.01,93.37,3.1809,100A/95A/95A,1350000000000000.0
CL5_407796705CCS_F0050432CCAM03116P3.SAV,Duncan_Lake_vertical_start,1.0,407796705.0,116.0,CCAM03116,4.0,44.6,+/-,5.1,0.9,1.51,+/-,0.62,0.16,7.2,+/-,3.3,0.5,20.6,+/-,4.0,0.3,10.9,+/-,2.7,1.0,5.2,+/-,1.8,0.8,2.19,+/-,0.62,0.21,0.99,+/-,0.86,0.29,0.17,+/-,0.06,0.01,93.41,3.1809,100A/95A/95A,1390000000000000.0
CL5_407796780CCS_F0050432CCAM03116P3.SAV,Duncan_Lake_vertical_start,1.0,407796780.0,116.0,CCAM03116,5.0,43.9,+/-,5.1,0.7,1.1,+/-,0.52,0.05,7.1,+/-,3.3,1.0,20.7,+/-,4.0,0.3,14.7,+/-,3.2,0.9,4.1,+/-,1.5,0.3,1.72,+/-,0.64,0.17,0.5,+/-,0.67,0.16,0.19,+/-,0.06,0.01,93.99,3.1809,100A/95A/95A,1280000000000000.0
CL5_407796855CCS_F0050432CCAM03116P3.SAV,Duncan_Lake_vertical_start,1.0,407796855.0,116.0,CCAM03116,6.0,44.2,+/-,5.1,0.4,1.46,+/-,0.61,0.05,7.3,+/-,3.3,0.3,20.5,+/-,4.0,0.1,12.1,+/-,2.9,0.5,3.9,+/-,1.4,0.3,2.21,+/-,0.62,0.09,1.23,+/-,0.96,0.25,0.19,+/-,0.06,0.01,93.17,3.1809,100A/95A/95A,1440000000000000.0
CL5_407796930CCS_F0050432CCAM03116P3.SAV,Duncan_Lake_vertical_start,1.0,407796930.0,116.0,CCAM03116,7.0,39.7,+/-,5.5,0.6,1.32,+/-,0.57,0.05,5.6,+/-,3.1,0.3,21.2,+/-,4.0,0.3,14.3,+/-,3.2,0.6,4.3,+/-,1.5,0.5,1.71,+/-,0.64,0.06,0.35,+/-,0.61,0.04,0.21,+/-,0.07,0.01,88.75,3.16836,100A/95A/95A,1440000000000000.0
CL5_407797190CCS_F0050432CCAM03116P3.SAV,Duncan_Lake_vertical_start,1.0,407797190.0,116.0,CCAM03116,8.0,41.7,+/-,5.3,0.5,1.11,+/-,0.52,0.06,5.7,+/-,3.1,0.2,20.8,+/-,4.0,0.2,14.5,+/-,3.2,0.6,5.1,+/-,1.7,0.7,1.74,+/-,0.64,0.06,0.57,+/-,0.69,0.09,0.22,+/-,0.07,0.01,91.6,3.16836,100A/95A/95A,1360000000000000.0
